DATE,UUID,TOUCHLESS FLG,TOP Select - FAUCET / Series,TOP Select - FAUCET / Shape,TOP Select - FAUCET / Colour,TOP Select - LAVATORY,FAUCET,FAUCET COLOUR,SOAP DISPENSER,SOAP TANK,CONTROLLER UNIT,OPTION,LAVATORY
2025-01-08 20:23:58,17363354380865181704244331322-,,,,1,,TLP03301,BGR,,,,,LW1735B
2025-01-09 20:31:23,17363354380865181704244331322-,,,,,1,TLP02201,MBL,,,,,LW710
2025-01-14 11:40:46,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 11:44:57,17363354380865181704244331322-,,,,,,TLP02301,PC,,,,,LW596
2025-01-14 11:45:14,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 11:54:55,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:02:28,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:07:47,17363354380865181704244331322-,,,,,,TLG07303,PFG,,,,,LW4716
2025-01-14 12:16:12,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:17:18,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:18:27,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:21:16,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:22:44,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:26:27,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:27:08,17363354380865181704244331322-,,,,,,TLP02301,BFG,,,,,LW596
2025-01-14 12:31:43,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:37:30,17363354380865181704244331322-,,,,,,TLP02201,PC,,,,,LW710
2025-01-14 12:38:33,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:39:01,17363354380865181704244331322-,,,,,,TLP02301,PC,,,,,LW596
2025-01-14 12:40:50,17363354380865181704244331322-,,,,,,TLP03301,PN,,,,,LW1735B
2025-01-14 12:42:59,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 12:56:28,17363354380865181704244331322-,,,,,,TLP03301,PN,,,,,PJS06
2025-01-14 12:57:22,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW1716
2025-01-14 12:58:22,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW1715
2025-01-14 12:58:33,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 13:08:16,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 13:10:56,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
2025-01-14 14:25:40,17363354380865181704244331322-,,,,,,TLP01701,BN,,,,,LW4716
