FAUCET_PRODUCT_ID,SD_PRODUCT_ID,SOAP_TANK_PRODUCT_ID,
TLE20001,TLK08001,TLK01101,
TLE21001,TLK08001,TLK01101,
TLE22001,TLK07001,TLK01101,
TLE23001,TLK08001,TLK01101,
TLE23002,TLK08002,TLK01101,
TLE23003,TLK08003,TLK01101,
TLE23004,,,
TLE23005,,,
TLE24001,TLK07001,TLK01101,
TLE24002,TLK07002,TLK01101,
TLE24003,TLK07003,TLK01101,
TLE24004,,,
TLE24005,,,
TLE25001,TLK08001,TLK01101,
TLE25002,TLK08002,TLK01101,
TLE25003,TLK08003,TLK01101,
TLE25004,,,
TLE25005,,,
TLE26001,TLK07001,TLK01101,
TLE26002,TLK07002,TLK01101,
TLE26003,TLK07003,TLK01101,
TLE26004,,,
TLE26005,,,
TLE27001,TLK07001,TLK01101,
TLE30001,TLK07001,TLK01101,
TLE28001,TLK07001,TLK01101,
TLE31001,TLK07001,TLK01101,
TLE29001,TLK09001,TLK01101,
