ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,,,商品分類（1）,商品分類（2）,画像調整,,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,カラー（単色）,,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,ボウル横幅（B-W),ボウル奥行,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,MBL,MW,MBE,MGR,FG,MO,SR,AB,W,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,SIZE_B-W,SIZE_B-H,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,COLOUR_MBL,COLOUR_MW,COLOUR_MBE,COLOUR_MGR,COLOUR_FG,COLOUR_MO,COLOUR_SR,COLOUR_ABU,COLOUR_W,COLOUR_DEFAULT
1,lavatory,LW596,,,,Under：Square,under,,550,185,370,500,310,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
2,lavatory,LW1514,,,,Under：Square,under,,470,147,470,400,400,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
3,lavatory,LW1515,,,,Under：Square,under,,570,147,430,500,360,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
4,lavatory,LW1516,,,,Under：Square,under,,670,147,450,600,380,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
5,lavatory,LW2506B,,,,Under：Square,under,,626,210,446,530,350,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
6,lavatory,LW2516B,,,,Under：Square,under,,626,197,446,530,350,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
7,lavatory,LT520V,,,,Under：Square,under,,604,135,365,520,315,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
8,lavatory,LT542,,,,Under：Square,under,,529,206,364,483,316,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
9,lavatory,LW540,,,,Under：Square,under,,590,200,415,540,365,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
10,lavatory,LW1536B,,,,Under：Square,under,,590,207,380,530,330,S,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
11,lavatory,LW1535B,,,,Under：Square,under,,500,207,380,450,330,S,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
12,lavatory,LW1504,,,,Under：Round,under,,470,177,470,400,400,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
13,lavatory,L530,,,,Under：Round,under,,470,165,440,390,390,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
14,lavatory,L537,,,,Under：Round,under,,470,172,380,420,335,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
15,lavatory,LW546,,,,Under：Round,under,,550,185,400,500,350,R,outset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
16,lavatory,LW548,,,,Under：Round,under,,600,215,420,550,370,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
17,lavatory,LT569,,,,Under：Round,under,,488,191,411,432,355,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
18,lavatory,LW1506JUB,,,,Under：Round,under,,590,207,380,530,330,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
19,lavatory,LW1505JUB#XW,,,,Under：Round,under,,500,207,380,450,330,R,outset,,,,,,,,,,,,,,,,,,,,,,,,1,W
20,lavatory,LW709,,,,Vessel inset：Square,vessel_inset,,500,135,450,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
21,lavatory,LW710,,,,Vessel inset：Square,vessel_inset,,500,135,450,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
22,lavatory,LW711,,,,Vessel inset：Square,vessel_inset,,600,135,500,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
23,lavatory,LW1615,,,,Vessel inset：Square,vessel_inset,,500,70,460,,,S,inset,1,,,,,,,,,,,,,,,,,,,,,,,1,W
