SD_PRODUCT_ID,LAVATORY_PRODUCT_ID,W_POS,D_POS
TLK07003,LW1735B,160,0
TLK07003,LW523,120,10
TLK07003,LW1705B,140,10
TLK07003,L1706,175,0
TLK07003,PJS03,160,0
TLK07003,PJS06,160,0
TLK07003,PJS02,160,0
TLK07003,PJS07,160,0
TLK07003,PJS05,120,0
TLK07003,LW387B,120,30
TLK07003,LW716B,120,0
TLK07003,LW760LB,120,0
TLK07003,LW681B,120,20
TLK07003,LW682B,160,0
TLK07003,PJS04W,140,60
TLK07003,LT573,140,30
TLK07003,LT574,140,0
TLK07002,LW4715,160,0
TLK07002,LW4716,160,0
TLK07002,LW1714,140,0
TLK07002,LW1715,160,0
TLK07002,LW1716,160,0
TLK07002,LW1717,160,0
TLK07002,LW5715B,160,0
TLK07002,LW5716B,160,0
TLK07002,LW1704,140,35
TLK07002,LW4724,220,0
TLK07002,LT480,120,0
TLK07002,LT533R,140,35
TLK07002,LW3716HB,160,0
TLK07002,LW3717HB,160,0
TLK07001,LW596,160,0
TLK07001,LW1514,160,0
TLK07001,LW1515,160,0
TLK07001,LW1516,160,0
TLK07001,LW2516B,160,0
TLK07001,LT520V,160,0
TLK07001,LT542,160,0
TLK07001,LW540,160,0
TLK07001,LW1536B,160,0
TLK07001,LW1535B,160,0
TLK07001,LW1504,140,50
TLK07001,L530,165,0
TLK07001,L530,165,60
TLK07001,L537,120,10
TLK07001,LW546,110,0
TLK07001,LW548,140,0
TLK07001,LT569,140,40
TLK07001,LW1506JUB,140,20
TLK07001,LW1505JUB#XW,140,30
TLK07001,L762,120,0
TLK07001,LT307,100,0
TLK07001,LW588RB,140,5
TLK07001,LW765B,140,0
TLK08003,LW1735B,160,0
TLK08003,LW523,120,10
TLK08003,LW1705B,140,10
TLK08003,L1706,175,0
TLK08003,PJS03,160,0
TLK08003,PJS06,160,0
TLK08003,PJS02,160,0
TLK08003,PJS07,160,0
TLK08003,PJS05,120,0
TLK08003,LW387B,120,30
TLK08003,LW716B,120,0
TLK08003,LW760LB,120,0
TLK08003,LW681B,120,20
TLK08003,LW682B,160,0
TLK08003,PJS04W,140,60
TLK08003,LT573,140,30
TLK08003,LT574,140,0
TLK08002,LW4715,160,0
TLK08002,LW4716,160,0
TLK08002,LW1714,140,0
TLK08002,LW1715,160,0
TLK08002,LW1716,160,0
TLK08002,LW1717,160,0
TLK08002,LW5715B,160,0
TLK08002,LW5716B,160,0
TLK08002,LW1704,140,35
TLK08002,LW4724,220,0
TLK08002,LT480,120,0
TLK08002,LT533R,140,35
TLK08002,LW3716HB,160,0
TLK08002,LW3717HB,160,0
TLK08001,LW596,160,0
TLK08001,LW1514,160,0
TLK08001,LW1515,160,0
TLK08001,LW1516,160,0
TLK08001,LW2516B,160,0
TLK08001,LT520V,160,0
TLK08001,LT542,160,0
TLK08001,LW540,160,0
TLK08001,LW1536B,160,0
TLK08001,LW1535B,160,0
TLK08001,LW1504,140,50
TLK08001,L530,165,0
TLK08001,L530,165,60
TLK08001,L537,120,10
TLK08001,LW546,110,0
TLK08001,LW548,140,0
TLK08001,LT569,140,40
TLK08001,LW1506JUB,140,20
TLK08001,LW1505JUB#XW,140,30
TLK08001,L762,120,0
TLK08001,LT307,100,0
TLK08001,LW588RB,140,5
TLK08001,LW765B,140,0
TLK09001,LW596,160,0
TLK09001,LW1514,160,0
TLK09001,LW1515,160,0
TLK09001,LW1516,160,0
TLK09001,LT520V,160,0
TLK09001,LW540,160,0
TLK09001,LW1536B,160,0
TLK09001,LW1535B,160,0
TLK09001,LW1504,140,50
TLK09001,L530,165,0
TLK09001,L530,165,60
TLK09001,LW546,110,0
TLK09001,LW548,140,0
TLK09001,LT569,140,40
TLK09001,LW1506JUB,140,20
TLK09001,LW1505JUB#XW,140,30
