HEAD_SHOWER,,,ACCESSORY,,,,
SERIES,SHAPE_TXT,SHAPE,CATEGORY,TYPE,COMBINATION_ID,RECOMMEND_FLG,REMARKS
,Round,R,1,slide-bar,ABR6,〇,
,Round,R,1,slide-bar,ABR9,,
,Round,R,1,slide-bar,ABS6,,
,Round,R,1,slide-bar,ABS9,,
,Round,R,1,shower-hook,AHR,,（台湾の場合はAHT)
,Square,S,1,slide-bar,ABR6,,
,Square,S,1,slide-bar,ABR9,,
,Square,S,1,slide-bar,ABS6,〇,
,Square,S,1,slide-bar,ABS9,,
,Square,S,1,shower-hook,AHS,,（台湾の場合はAHT)
,Round,R,2,shower-elbow-hook,AER3,,給水エルボ（ハンガー付き）
,Round,R,2,shower-elbow-hook,AES3,,給水エルボ（ハンガー付き）
,Square,S,2,shower-elbow-hook,AER3,,給水エルボ（ハンガー付き）
,Square,S,2,shower-elbow-hook,AES3,,給水エルボ（ハンガー付き）
,Round,R,2,shower-elbow,AER1,,
,Round,R,2,shower-elbow,AER2,〇,
,Round,R,2,shower-elbow,AES1,,
,Round,R,2,shower-elbow,AES2,,
,Square,S,2,shower-elbow,AER1,,
,Square,S,2,shower-elbow,AER2,,
,Square,S,2,shower-elbow,AES1,,
,Square,S,2,shower-elbow,AES2,〇,
