OUTPUT,OVER_HEAD_SHOWER,,,,HEAD_SHOWER,,,SPAUT,,,CONTROLLER,,,,,,VALVE,,,
,OGR3W,SERIES,SHAPE_TXT,SHAPE,SERIES,SHAPE_TXT,SHAPE,SERIES,SHAPE_TXT,SHAPE,SHAPE,RELATION_NO,No,SERIES,SHAPE_TXT,SHAPE,VALVE_1,VALVE_２,RECOMMEND_FLG,
1,Y,Z,Round,R,,,,,,,handle,1YH-1,MGR9942,G,Round,R,,,,
1,Y,Z,Round,R,,,,,,,handle,1YH-1,MGS9942,G,Square,S,,,,
1,Y,Z,Round,R,,,,,,,handle,1YH-2,MGR9940,G,Round,R,VGR01,VGR01,,
1,Y,Z,Round,R,,,,,,,handle,1YH-2,MGS9940,G,Square,S,VGS01,VGS01,,
1,Y,Z,Round,R,,,,,,,handle,1YH-3,MGR9940,G,Round,R,VGR01,VGR02,◯,
1,Y,Z,Round,R,,,,,,,handle,1YH-3,MGS9940,G,Square,S,VGS01,VGS02,,
1,Y,Z,Round,R,,,,,,,switch,1YS-1,MGS9942B,G,Square,S,,,◯,
1,Y,Z,Round,R,,,,,,,switch,1YS-2,MGS9941B,G,Square,S,VGS02,,,
1,Y,Z,Square,S,,,,,,,handle,1YH-1,MGR9942,G,Round,R,,,,
1,Y,Z,Square,S,,,,,,,handle,1YH-1,MGS9942,G,Square,S,,,,
1,Y,Z,Square,S,,,,,,,handle,1YH-2,MGR9940,G,Round,R,VGR01,VGR01,,
1,Y,Z,Square,S,,,,,,,handle,1YH-2,MGS9940,G,Square,S,VGS01,VGS01,,
1,Y,Z,Square,S,,,,,,,handle,1YH-3,MGR9940,G,Round,R,VGR01,VGR02,,
1,Y,Z,Square,S,,,,,,,handle,1YH-3,MGS9940,G,Square,S,VGS01,VGS02,◯,
1,Y,Z,Square,S,,,,,,,switch,1YS-1,MGS9942B,G,Square,S,,,◯,
1,Y,Z,Square,S,,,,,,,switch,1YS-2,MGS9941B,G,Square,S,VGS02,,,
1,N,G,Round,R,,,,,,,handle,1NH-1,MGR9941,G,Round,R,,,◯,
1,N,G,Round,R,,,,,,,handle,1NH-1,MGS9941,G,Square,S,,,,
1,N,G,Round,R,,,,,,,handle,1NH-2,MGR9940,G,Round,R,VGR01,,,
1,N,G,Round,R,,,,,,,handle,1NH-2,MGS9940,G,Square,S,VGS01,,,
1,N,G,Round,R,,,,,,,switch,1NS-1,MGS9941B,G,Square,S,,,◯,
1,N,G,Round,R,,,,,,,lever,1NL-1,MZS0231,Z,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGR1131,G,Round,R,,,◯,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGR0131,G,Round,R,,,◯,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGR0331,G,Round,R,,,◯,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGS0731,G,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGS0831,G,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGS0931,G,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGS1031,G,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGS0431,G,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MGS0231,G,Square,S,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MLR0131,L,Round,R,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MLR0231,L,Round,R,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MLR0331,L,Round,R,,,,
1,N,G,Round,R,,,,,,,lever,1NL-1,MLR0431,L,Round,R,,,,
1,N,G,Square,S,,,,,,,handle,1NH-1,MGR9941,G,Round,R,,,,
1,N,G,Square,S,,,,,,,handle,1NH-1,MGS9941,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,handle,1NH-2,MGR9940,G,Round,R,VGR01,,,
1,N,G,Square,S,,,,,,,handle,1NH-2,MGS9940,G,Square,S,VGS01,,,
1,N,G,Square,S,,,,,,,switch,1NS-1,MGS9941B,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MZS0231,Z,Square,S,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGR1131,G,Round,R,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGR0131,G,Round,R,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGR0331,G,Round,R,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGS0731,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGS0831,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGS0931,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGS1031,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGS0431,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MGS0231,G,Square,S,,,◯,
1,N,G,Square,S,,,,,,,lever,1NL-1,MLR0131,L,Round,R,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MLR0231,L,Round,R,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MLR0331,L,Round,R,,,,
1,N,G,Square,S,,,,,,,lever,1NL-1,MLR0431,L,Round,R,,,,
1,N,L,Round,R,,,,,,,handle,1NH-1,MGR9941,G,Round,R,,,◯,
1,N,L,Round,R,,,,,,,handle,1NH-1,MGS9941,G,Square,S,,,,
1,N,L,Round,R,,,,,,,handle,1NH-2,MGR9940,G,Round,R,VGR01,,,
1,N,L,Round,R,,,,,,,handle,1NH-2,MGS9940,G,Square,S,VGS01,,,
1,N,L,Round,R,,,,,,,switch,1NS-1,MGS9941B,G,Square,S,,,◯,
1,N,L,Round,R,,,,,,,lever,1NL-1,MZS0231,Z,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGR1131,G,Round,R,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGR0131,G,Round,R,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGR0331,G,Round,R,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGS0731,G,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGS0831,G,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGS0931,G,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGS1031,G,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGS0431,G,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MGS0231,G,Square,S,,,,
1,N,L,Round,R,,,,,,,lever,1NL-1,MLR0131,L,Round,R,,,◯,
1,N,L,Round,R,,,,,,,lever,1NL-1,MLR0231,L,Round,R,,,◯,
1,N,L,Round,R,,,,,,,lever,1NL-1,MLR0331,L,Round,R,,,◯,
1,N,L,Round,R,,,,,,,lever,1NL-1,MLR0431,L,Round,R,,,◯,
1,N,,,,G,Round,R,,,,handle,1NH-1,MGR9941,G,Round,R,,,◯,
1,N,,,,G,Round,R,,,,handle,1NH-1,MGS9941,G,Square,S,,,,
1,N,,,,G,Round,R,,,,handle,1NH-2,MGR9940,G,Round,R,VGR01,,,
1,N,,,,G,Round,R,,,,handle,1NH-2,MGS9940,G,Square,S,VGS01,,,
1,N,,,,G,Round,R,,,,switch,1NS-1,MGS9941B,G,Square,S,,,◯,
1,N,,,,G,Round,R,,,,lever,1NL-1,MZS0231,Z,Square,S,,,,
1,N,,,,G,Round,R,,,,lever,1NL-1,MGR1131,G,Round,R,,,◯,
1,N,,,,G,Round,R,,,,lever,1NL-1,MGR0131,G,Round,R,,,◯,
1,N,,,,G,Round,R,,,,lever,1NL-1,MGR0331,G,Round,R,,,◯,
1,N,,,,G,Round,R,,,,lever,1NL-1,MGS0731,G,Square,S,,,,
