ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE (over head shower),GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA (over head shower),WARM SPA (hand shower),COMFORT WAVE (hand shower),INTENSE WAVE,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,TECH_12,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
236,controller,TBP02301,MZS0231,Z,ZL,Square,S,,,,,lever,normal,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
237,controller,TBP02302,MZS0232,Z,ZL,Square,S,,,,,lever,w/Diverter,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
238,bath-spout,TBP02001,SZS02,Z,ZL,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
239,controller,TBG07303,MGS0731,G,GE,Square,S,,,,,lever,normal,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
240,controller,TBG07304,MGS0732,G,GE,Square,S,,,,,lever,w/Diverter,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
241,bath-spout,TBG07001,SGS07,G,GE,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
242,controller,TBG08303,MGS0831,G,GC,Square,S,,,,,lever,normal,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
243,controller,TBG08304,MGS0832,G,GC,Square,S,,,,,lever,w/Diverter,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
244,bath-spout,TBG08001,SGS08,G,GC,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
245,controller,TBG09303,MGS0931,G,GM,Square,S,,,,,lever,normal,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
246,controller,TBG09304,MGS0932,G,GM,Square,S,,,,,lever,w/Diverter,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
247,bath-spout,TBG09001,SGS09,G,GM,Square,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
